"entry_id","created_at","dynamodb_timestamp","humidity_percent","kinesis_timestamp","lambda_timestamp","light_intensity","power_level_volts","pressure_inhg","rain_inches_per_minute","temperature_fahrenheit","wind_direction","wind_speed"
"5440826","2025-05-06T19:26:47Z","2025-05-06T20:46:44.697700Z","95","2025-05-06T20:44:38.787000+00:00","2025-05-06T20:46:44.697679Z","1327","4.13","29.88","0","59.5","37","1"
"5440856","2025-05-06T19:56:47Z","2025-05-06T20:46:45.937698Z","95","2025-05-06T20:44:39.068000+00:00","2025-05-06T20:46:45.937676Z","880","4.063","29.87","0","59.5","55","0"
"5440896","2025-05-06T20:36:47Z","2025-05-06T20:43:42.760227Z","95","2025-05-06T20:43:38.413000+00:00","2025-05-06T20:43:42.760204Z","191","4.133","29.86","0","58.7","57","0"
"5440860","2025-05-06T20:00:47Z","2025-05-06T20:46:46.097659Z","95","2025-05-06T20:44:39.108000+00:00","2025-05-06T20:46:46.097636Z","547","4.108","29.86","0","59.5","46","0.1"
"5440885","2025-05-06T20:25:47Z","2025-05-06T20:43:42.300202Z","95","2025-05-06T20:43:38.317000+00:00","2025-05-06T20:43:42.300182Z","505","4.069","29.86","0","58.9","53","0.1"
"5440892","2025-05-06T20:32:47Z","2025-05-06T20:43:42.600267Z","95","2025-05-06T20:43:38.382000+00:00","2025-05-06T20:43:42.600246Z","352","4.129","29.86","0","58.7","45","0.1"
"5440867","2025-05-06T20:07:47Z","2025-05-06T20:46:46.397672Z","95","2025-05-06T20:44:39.193000+00:00","2025-05-06T20:46:46.397651Z","726","4.073","29.87","0","59.1","50","0"
"5440894","2025-05-06T20:34:47Z","2025-05-06T20:43:42.680208Z","95","2025-05-06T20:43:38.397000+00:00","2025-05-06T20:43:42.680187Z","213","4.131","29.86","0","58.7","49","0.1"
"5440819","2025-05-06T19:19:47Z","2025-05-06T20:46:44.397646Z","95","2025-05-06T20:44:38.724000+00:00","2025-05-06T20:46:44.397626Z","849","4.129","29.89","0","59.1","57","0.2"
"5440902","2025-05-06T20:42:47Z","2025-05-06T20:43:43.020280Z","95","2025-05-06T20:43:38.464000+00:00","2025-05-06T20:43:43.020260Z","243","4.125","29.86","0","58.7","55","0.2"
"5440849","2025-05-06T19:49:47Z","2025-05-06T20:46:45.637656Z","95","2025-05-06T20:44:39.004000+00:00","2025-05-06T20:46:45.637636Z","744","4.13","29.87","0","59.5","50","0.1"
"5440871","2025-05-06T20:11:47Z","2025-05-06T20:46:46.557661Z","95","2025-05-06T20:44:39.226000+00:00","2025-05-06T20:46:46.557639Z","703","4.069","29.87","0","59.1","42","1.2"
"5440903","2025-05-06T20:43:47Z","2025-05-06T20:43:43.060180Z","95","2025-05-06T20:43:38.473000+00:00","2025-05-06T20:43:43.060160Z","254","4.131","29.86","0","58.5","52","0.2"
"5440841","2025-05-06T19:41:47Z","2025-05-06T20:46:45.317680Z","95","2025-05-06T20:44:38.932000+00:00","2025-05-06T20:46:45.317658Z","579","4.13","29.88","0","59.6","46","0"
"5440864","2025-05-06T20:04:47Z","2025-05-06T20:46:46.277665Z","95","2025-05-06T20:44:39.142000+00:00","2025-05-06T20:46:46.277644Z","691","4.08","29.86","0","59.5","41","0.4"
"5440891","2025-05-06T20:31:47Z","2025-05-06T20:43:42.560163Z","95","2025-05-06T20:43:38.373000+00:00","2025-05-06T20:43:42.560143Z","366","4.065","29.86","0","58.7","51","0.2"
"5440851","2025-05-06T19:51:47Z","2025-05-06T20:46:45.717708Z","95","2025-05-06T20:44:39.020000+00:00","2025-05-06T20:46:45.717686Z","819","4.082","29.87","0","59.5","45","0.1"
"5440843","2025-05-06T19:43:47Z","2025-05-06T20:46:45.397661Z","95","2025-05-06T20:44:38.948000+00:00","2025-05-06T20:46:45.397639Z","565","4.096","29.88","0","59.6","49","0.2"
"5440835","2025-05-06T19:35:47Z","2025-05-06T20:46:45.057680Z","95","2025-05-06T20:44:38.874000+00:00","2025-05-06T20:46:45.057657Z","969","4.123","29.88","0","59.6","47","0"
"5440887","2025-05-06T20:27:47Z","2025-05-06T20:43:42.380146Z","95","2025-05-06T20:43:38.338000+00:00","2025-05-06T20:43:42.380126Z","315","4.067","29.86","0","58.7","51","0.2"
"5440852","2025-05-06T19:52:47Z","2025-05-06T20:46:45.757636Z","95","2025-05-06T20:44:39.034000+00:00","2025-05-06T20:46:45.757615Z","864","4.123","29.87","0","59.5","48","0"
"5440884","2025-05-06T20:24:47Z","2025-05-06T20:43:42.260266Z","95","2025-05-06T20:43:38.310000+00:00","2025-05-06T20:43:42.260245Z","467","4.076","29.86","0","58.9","51","0.2"
"5440839","2025-05-06T19:39:47Z","2025-05-06T20:46:45.237653Z","95","2025-05-06T20:44:38.907000+00:00","2025-05-06T20:46:45.237632Z","791","4.078","29.88","0","59.8","47","0"
"5440821","2025-05-06T19:21:47Z","2025-05-06T20:46:44.477681Z","95","2025-05-06T20:44:38.746000+00:00","2025-05-06T20:46:44.477659Z","1054","4.129","29.88","0","59.3","44","0"
"5440818","2025-05-06T19:18:47Z","2025-05-06T20:46:44.357698Z","95","2025-05-06T20:44:38.712000+00:00","2025-05-06T20:46:44.357675Z","755","4.128","29.89","0","59.3","52","0"
"5440882","2025-05-06T20:22:47Z","2025-05-06T20:43:42.160210Z","95","2025-05-06T20:43:38.293000+00:00","2025-05-06T20:43:42.160190Z","318","4.13","29.86","0","58.9","54","0.2"
"5440898","2025-05-06T20:38:47Z","2025-05-06T20:43:42.840219Z","95","2025-05-06T20:43:38.430000+00:00","2025-05-06T20:43:42.840198Z","202","4.082","29.86","0","58.7","51","0.1"
"5440854","2025-05-06T19:54:47Z","2025-05-06T20:46:45.857663Z","95","2025-05-06T20:44:39.051000+00:00","2025-05-06T20:46:45.857642Z","835","4.08","29.87","0","59.3","47","0"
